Category,Restaurant Name,Price_Range_Int,google_place_id,google_formatted_address,google_lat,google_lng,google_types
Asian Fusion,Viet House,1,ChIJG7lTNMwzK4gRDnV3OlCFKQY,"3200 Dufferin St, North York, ON M6A 2T3",43.7183623,-79.4572327,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Canteen,1,ChIJCcxWcsM0K4gRPMhb7SMq3zA,"280 Spadina Ave., Toronto, ON M5T 3A5",43.6527506,-79.3982741,"asian_restaurant,chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Charcoal Kebab House,2,ChIJqTYuZTbQ1IkRp8VN8iFWVck,"3256 Lawrence Ave E, Toronto, ON M1H 1A4",43.7575422,-79.2389693,"asian_restaurant,chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,WAbar,2,ChIJ0YHPG7I0K4gRwrd9pZx2d5c,"3 Isabella St, Toronto, ON M4Y 1N1",43.6675287,-79.3852894,"bar,point_of_interest,establishment"
Asian Fusion,Angus Pho House,1,ChIJN9tUZA0tK4gRWCvCFF3AqlU,"5443 Yonge St, North York, ON M2N 5S1",43.7770717,-79.4146008,"restaurant,food,point_of_interest,establishment"
Asian Fusion,The Captain’s Boil,2,ChIJs_RF3M80K4gRegBhK7AKNDI,"#224, 226 Queen St W, Toronto, ON M5T 1V5",43.6503873,-79.3899757,"seafood_restaurant,asian_restaurant,american_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,The Captain’s Boil,3,ChIJgXNoXyAzK4gRJNPWL1TX0nY,"2655 Yonge St, Toronto, ON M4P 2J6",43.7158333,-79.4,"seafood_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,The Red Tomato,2,ChIJ5RIivdA0K4gR4GgzvNYXhp0,"321 King St W, Toronto, ON M5V 1J5",43.6462418,-79.3908509,"restaurant,italian_restaurant,point_of_interest,food,establishment"
Asian Fusion,Food & Liquor,2,ChIJoURLSbE1K4gRDfvs131aXys,"1610 Queen St W, Toronto, ON M6R 1A8",43.6397485,-79.4418827,"bar,asian_restaurant,meal_delivery,food_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment"
Asian Fusion,Mr Kiwi Rice & Noodle Bar,2,ChIJNRIeADU1K4gRdLpyzRe8ums,"456 Spadina Ave., Toronto, ON M5T 2G8",43.657321,-79.4002665,"restaurant,bar_and_grill,bar,food,point_of_interest,establishment"
Asian Fusion,Chan Yang,1,ChIJb8Y9Vm0tK4gRIGZkhkaxoRI,"5 Northtown Way #7, North York, ON M2N 7L5",43.7746987,-79.4139647,"restaurant,food,point_of_interest,establishment"
Asian Fusion,STAY Cafeteria,1,ChIJgXoD2MM0K4gRknEQb4fL8X4,"388 Spadina Ave., Toronto, ON M5T 2G5",43.6554711,-79.3994137,"chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Fusia Asian Kitchen,,ChIJA46x9dzN1IkRSybQROxuRus,"1 Eglinton Square, Scarborough, ON M1L 2K1",43.7233216,-79.2988209,"asian_restaurant,thai_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,York Burger,,ChIJfe-2OdA3K4gRhC4Uu7CKo-w,"1194 Weston Rd, York, ON M6M 4P4",43.6875152,-79.4915463,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Hakka No. 1,2,ChIJ0WkozEs7K4gRxpF2cBbPOK8,"2584 Finch Ave W, Toronto, ON M9M 2G3",43.7487532,-79.5613354,"asian_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Riz North,3,ChIJTwPbh5IyK4gREJ-MAYA9MfA,"3471A Yonge St, Toronto, ON M4N 2N3",43.7342199,-79.4043799,"asian_restaurant,chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Pho Phuong,2,ChIJO0jijFE0K4gReRgEbyhoyNM,"1603 Dundas St W, Toronto, ON M6K 1T9",43.64975,-79.43514,"vietnamese_restaurant,meal_delivery,asian_restaurant,food_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment"
Asian Fusion,Yummy House,1,ChIJHWB_WX_L1IkR--YAV8zahf8,"234 Jones Ave, Toronto, ON M4M 3A6",43.6695363,-79.3358756,"fast_food_restaurant,chinese_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Green Papaya,2,ChIJ7dMJoCMzK4gROABrEQBnM2M,"2401 Yonge St, Toronto, ON M4P 2E7",43.7101616,-79.3988084,"brazilian_restaurant,thai_restaurant,asian_restaurant,catering_service,meal_delivery,food_delivery,vietnamese_restaurant,vegetarian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment"
Asian Fusion,Garden Gate Restaurant,1,ChIJf4lsM6rO1IkRVeVIp4PZ0Nk,"2379 Queen St E, Toronto, ON M4E 3K2",43.672525,-79.2873458,"restaurant,chinese_restaurant,point_of_interest,food,establishment"
Asian Fusion,The Captain’s Boil,2,ChIJgXNoXyAzK4gRJNPWL1TX0nY,"2655 Yonge St, Toronto, ON M4P 2J6",43.7158333,-79.4,"seafood_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Hong Food,1,ChIJr2nG07fQ1IkRHUP_QZaLLRE,"31 Tapscott Rd, Scarborough, ON M1B 4Y7",43.8065102,-79.2220776,"chinese_restaurant,indian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Japanese Take-out,,ChIJY6lpImMxK4gRfARd9y5XrmA,"3705 Chesswood Dr, North York, ON M3J 2P6",43.7561111,-79.4734627,"japanese_restaurant,sushi_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment"
Asian Fusion,Yip’s Kitchen,,ChIJPcYCNDDL1IkRAZiHJ9bvr5M,"95 Front St E, Toronto, ON M5E 1C3",43.6487905,-79.3718548,"chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Cafe 668,2,ChIJ1WtKceU0K4gRHiWp1NYO4BQ,"885 Dundas St W, Toronto, ON M6J 1V9",43.6510319,-79.4116876,"vegetarian_restaurant,restaurant,food,point_of_interest,establishment"
